Curah Hujan (mm),Ketinggian Sungai (cm),Debit Air (m³/s),Luas Resapan (%),Drainase (skor 1-10),Kondisi Cuaca,Label
58,64,265,38,4,Hujan Ringan,Tidak
31,50,155,47,5,Hujan Ringan,Tidak
103,91,258,29,7,Hujan Sedang,Banjir
32,53,194,32,5,Hujan Ringan,Tidak
123,131,341,74,8,Hujan Berat,Banjir
67,73,274,18,3,Hujan Sedang,Banjir
113,123,493,76,5,Hujan Sedang,Banjir
107,107,347,67,9,Hujan Sedang,Tidak
58,68,189,15,5,Hujan Ringan,Tidak
40,53,232,19,3,Hujan Ringan,Tidak
57,75,280,62,8,Hujan Ringan,Tidak
53,73,288,49,2,Hujan Ringan,Tidak
43,60,223,41,2,Hujan Ringan,Tidak
85,83,273,66,6,Hujan Sedang,Tidak
89,83,296,50,6,Hujan Sedang,Tidak
51,73,285,42,5,Hujan Ringan,Tidak
49,72,252,76,2,Hujan Ringan,Tidak
56,79,251,41,2,Hujan Ringan,Banjir
92,89,296,66,2,Hujan Sedang,Banjir
41,48,217,70,2,Hujan Ringan,Tidak
31,47,151,33,7,Hujan Ringan,Tidak
55,72,214,52,9,Hujan Ringan,Tidak
93,103,408,73,7,Hujan Sedang,Tidak
62,71,191,33,5,Hujan Sedang,Tidak
111,124,408,15,4,Hujan Sedang,Banjir
54,64,209,74,2,Hujan Ringan,Tidak
41,59,200,62,9,Hujan Ringan,Tidak
133,115,418,50,7,Hujan Berat,Banjir
94,88,375,68,4,Hujan Sedang,Banjir
100,88,281,62,5,Hujan Sedang,Tidak
37,67,219,73,4,Hujan Ringan,Tidak
81,79,330,41,4,Hujan Sedang,Banjir
89,104,350,75,9,Hujan Sedang,Tidak
64,89,394,60,6,Hujan Ringan,Tidak
146,164,585,74,2,Hujan Berat,Banjir
50,52,181,39,3,Hujan Ringan,Tidak
167,179,514,61,7,Hujan Berat,Banjir
56,74,297,57,7,Hujan Ringan,Tidak
58,61,208,27,5,Hujan Ringan,Tidak
116,130,476,28,5,Hujan Sedang,Banjir
124,109,375,65,2,Hujan Berat,Banjir
51,75,206,29,7,Hujan Ringan,Tidak
96,103,454,20,6,Hujan Sedang,Banjir
59,71,276,44,4,Hujan Ringan,Tidak
78,81,256,23,5,Hujan Sedang,Banjir
117,136,425,15,9,Hujan Sedang,Banjir
64,72,231,65,6,Hujan Sedang,Tidak
58,60,197,76,5,Hujan Ringan,Tidak
45,63,278,47,7,Hujan Ringan,Tidak
82,74,323,24,3,Hujan Sedang,Banjir
110,115,348,16,2,Hujan Berat,Banjir
141,155,519,47,6,Hujan Berat,Banjir
96,95,393,57,5,Hujan Sedang,Banjir
41,46,161,22,6,Hujan Ringan,Tidak
199,177,530,72,6,Hujan Berat,Banjir
40,57,223,24,6,Hujan Ringan,Tidak
94,119,368,38,8,Hujan Sedang,Banjir
146,130,513,44,2,Hujan Berat,Banjir
79,98,421,26,6,Hujan Sedang,Banjir
185,163,600,30,6,Hujan Berat,Banjir
41,51,224,71,8,Hujan Ringan,Tidak
68,85,344,32,8,Hujan Ringan,Tidak
39,69,198,60,6,Hujan Ringan,Tidak
38,53,184,52,4,Hujan Ringan,Tidak
104,112,335,59,5,Hujan Sedang,Banjir
60,75,286,33,8,Hujan Ringan,Tidak
104,101,318,15,4,Hujan Sedang,Banjir
116,118,351,52,6,Hujan Sedang,Banjir
153,168,460,50,4,Hujan Berat,Banjir
116,115,348,45,2,Hujan Sedang,Banjir
113,110,362,30,9,Hujan Sedang,Banjir
53,68,232,22,3,Hujan Ringan,Tidak
57,63,218,77,2,Hujan Ringan,Tidak
49,73,244,20,3,Hujan Ringan,Banjir
64,71,225,19,8,Hujan Sedang,Tidak
113,129,381,40,8,Hujan Sedang,Banjir
56,63,245,15,6,Hujan Ringan,Tidak
35,52,254,17,6,Hujan Ringan,Tidak
112,127,419,15,4,Hujan Sedang,Banjir
33,58,253,53,3,Hujan Ringan,Tidak
113,130,505,71,2,Hujan Sedang,Banjir
52,75,314,52,9,Hujan Ringan,Tidak
67,89,310,65,8,Hujan Ringan,Tidak
116,121,400,19,6,Hujan Sedang,Banjir
46,73,275,20,6,Hujan Ringan,Tidak
40,59,185,22,5,Hujan Ringan,Tidak
54,68,263,64,6,Hujan Ringan,Tidak
48,77,255,35,7,Hujan Ringan,Tidak
41,48,164,59,4,Hujan Ringan,Tidak
51,61,262,40,5,Hujan Ringan,Tidak
161,139,508,16,6,Hujan Berat,Banjir
36,62,251,52,4,Hujan Ringan,Tidak
54,73,270,58,2,Hujan Ringan,Tidak
193,172,660,48,8,Hujan Berat,Banjir
108,112,342,66,3,Hujan Sedang,Banjir
118,115,386,67,7,Hujan Sedang,Banjir
35,46,212,38,8,Hujan Ringan,Tidak
112,111,426,20,3,Hujan Berat,Banjir
70,85,375,65,7,Hujan Sedang,Tidak
188,180,690,40,7,Hujan Berat,Banjir
79,95,323,28,9,Hujan Sedang,Tidak
40,67,263,20,3,Hujan Ringan,Tidak
64,70,245,16,5,Hujan Sedang,Tidak
66,67,260,52,8,Hujan Ringan,Tidak
90,110,362,23,3,Hujan Sedang,Banjir
64,83,356,28,5,Hujan Ringan,Banjir
50,70,279,76,5,Hujan Ringan,Tidak
54,70,244,46,4,Hujan Ringan,Tidak
92,109,392,67,9,Hujan Sedang,Tidak
68,68,220,56,9,Hujan Ringan,Tidak
58,69,269,52,2,Hujan Ringan,Tidak
66,75,222,24,6,Hujan Ringan,Tidak
147,145,579,66,9,Hujan Berat,Banjir
67,77,250,41,8,Hujan Sedang,Tidak
95,102,375,25,7,Hujan Sedang,Banjir
147,132,408,27,9,Hujan Berat,Banjir
84,83,337,19,9,Hujan Sedang,Tidak
57,68,251,54,2,Hujan Ringan,Tidak
132,108,474,68,8,Hujan Berat,Banjir
172,157,561,61,2,Hujan Berat,Banjir
69,86,263,52,3,Hujan Sedang,Tidak
86,106,391,39,8,Hujan Sedang,Banjir
53,66,264,63,8,Hujan Ringan,Tidak
158,148,491,27,7,Hujan Berat,Banjir
118,135,383,30,9,Hujan Sedang,Banjir
60,83,310,52,4,Hujan Sedang,Tidak
30,47,189,48,5,Hujan Ringan,Tidak
164,143,560,79,2,Hujan Berat,Banjir
53,61,208,65,2,Hujan Ringan,Tidak
67,75,280,51,7,Hujan Sedang,Tidak
60,78,212,47,8,Hujan Ringan,Tidak
128,136,536,34,4,Hujan Berat,Banjir
31,52,240,52,9,Hujan Ringan,Tidak
93,101,427,38,2,Hujan Sedang,Banjir
168,181,610,28,2,Hujan Berat,Banjir
104,102,289,40,3,Hujan Sedang,Banjir
196,182,734,56,5,Hujan Berat,Banjir
93,96,391,41,2,Hujan Sedang,Banjir
56,74,271,24,6,Hujan Ringan,Tidak
194,171,449,65,6,Hujan Berat,Banjir
85,82,285,73,8,Hujan Sedang,Tidak
113,117,490,70,2,Hujan Sedang,Banjir
49,70,223,40,3,Hujan Ringan,Tidak
38,46,198,56,2,Hujan Ringan,Tidak
32,50,216,26,4,Hujan Ringan,Tidak
46,76,236,22,8,Hujan Ringan,Tidak
196,195,769,26,8,Hujan Berat,Banjir
100,122,338,31,8,Hujan Sedang,Banjir
81,103,292,23,4,Hujan Sedang,Banjir
168,185,717,32,4,Hujan Berat,Banjir
126,122,450,17,6,Hujan Berat,Banjir
85,100,348,39,6,Hujan Sedang,Banjir
75,85,286,56,3,Hujan Sedang,Banjir
42,53,176,76,2,Hujan Ringan,Tidak
112,118,468,44,2,Hujan Sedang,Banjir
49,76,225,44,3,Hujan Ringan,Tidak
